iter	Passed	Remaining
640	1125	630
641	1127	628
642	1130	627
643	1131	625
644	1133	623
645	1135	622
646	1137	620
647	1139	619
648	1141	617
649	1143	615
650	1145	614
651	1146	612
652	1148	610
653	1150	608
654	1151	606
655	1154	605
656	1156	603
657	1158	601
658	1159	600
659	1161	598
660	1162	596
661	1163	594
662	1165	592
663	1166	590
664	1169	588
665	1171	587
666	1172	585
667	1174	583
668	1175	581
669	1176	579
670	1178	577
671	1179	575
672	1181	574
673	1183	572
674	1185	570
675	1187	569
676	1189	567
677	1190	565
678	1192	563
679	1193	561
680	1195	559
681	1198	558
682	1200	557
683	1202	555
684	1204	553
685	1206	552
686	1207	550
687	1209	548
688	1211	546
689	1214	545
690	1216	544
691	1218	542
692	1219	540
693	1222	538
694	1224	537
695	1230	537
696	1233	536
697	1236	534
698	1237	532
699	1239	531
700	1243	530
701	1246	529
702	1251	528
703	1253	527
704	1257	526
705	1259	524
706	1262	523
707	1263	521
708	1266	519
709	1270	518
710	1274	518
711	1279	517
712	1282	516
713	1290	516
714	1293	515
715	1295	513
716	1300	513
717	1303	511
718	1305	510
719	1310	509
720	1312	507
721	1314	506
722	1316	504
723	1320	503
724	1323	501
725	1325	500
726	1330	499
727	1337	499
728	1340	498
729	1342	496
730	1344	494
731	1346	492
732	1351	492
733	1353	490
734	1356	489
735	1358	487
736	1360	485
737	1362	483
738	1365	482
739	1368	480
740	1370	478
741	1371	476
742	1373	475
743	1374	473
744	1376	471
745	1378	469
746	1380	467
747	1381	465
748	1383	463
749	1384	461
750	1386	459
751	1388	457
752	1389	455
753	1391	453
754	1393	452
755	1395	450
756	1396	448
757	1398	446
758	1400	444
759	1402	442
760	1403	440
761	1405	438
762	1407	437
763	1409	435
764	1411	433
765	1412	431
766	1414	429
767	1416	427
768	1417	425
769	1419	423
770	1421	422
771	1423	420
772	1425	418
773	1426	416
774	1428	414
775	1430	412
776	1432	410
777	1433	409
778	1435	407
779	1437	405
780	1439	403
781	1441	401
782	1443	399
783	1444	398
784	1446	396
785	1447	394
786	1449	392
787	1451	390
788	1454	389
789	1456	387
790	1458	385
791	1461	383
